Manufacturer Part Number,Quantity,Customer Reference,Note
CC0805JRNPO9BN150,22,15pF 50V,
CC0805KRX7R9BB222,12,2.2nF 50V,
LTV-814,7,"AC-input optocoupler, DIP-4, LTV-814",
SMAJ5.0A,17,SMAJ5.0A,
SMAJ36A,7,SMAJ36A,
TLV431ASN1T1G,12,TLV431ASN1T1G,
CL31A226KAHNNNE,32,22uF 16V,
B4B-PH-K-S(LF)(SN),22,"JST PH 4-pin vertical header, 2.00 mm",
SMAJ26CA-13-F,52,SMAJ26CA-13-F,
CL31A106KBHNNNE,37,10uF 16V,
SRV05-4.TCT,22,SRV05-4.TCT,
CL21B474KBFNNNE,52,470nF 50V,
RC0805FR-07100KL,107,100k,"constructed, was 0805W8F1003T5E"
B10B-PH-K-S(LF)(SN),12,"JST PH 10-pin vertical header, 2.00 mm",
MF-MSMF050-2,17,MF-MSMF050-2,
RC0805FR-07100RL,12,100,"constructed, was 0805W8F1000T5E"
RC0805FR-0710KL,107,10k,"constructed, was 0805W8F1002T5E"
RC0805FR-07121KL,10,121k,"constructed, was 0805W8F1213T5E"
CC0805KRX7R9BB472,22,4.7nF 50V,"constructed, was 0805B472K500NT"
RC0805FR-0718KL,12,18k 1%,"constructed, was 0805W8F1802T5E"
RC0805FR-071KL,100,1k,"constructed, was 0805W8F1001T5E"
RC0805FR-071ML,12,1M,"constructed, was 0805W8F1004T5E"
RC0805FR-072K2L,17,2.2k,"constructed, was 0805W8F2201T5E"
RC0805FR-07220RL,17,220,"constructed, was 0805W8F2200T5E"
RC0805FR-0722KL,12,22k,"constructed, was 0805W8F2202T5E"
RC0805FR-0733RL,42,33,"constructed, was 0805W8F330JT5E"
RC0805FR-074K7L,22,4.7k,"constructed, was 0805W8F4701T5E"
RC0805FR-0743KL,12,43k 1%,"constructed, was 0805W8F4302T5E"
RC0805FR-0747KL,12,47k,"constructed, was 0805W8F4702T5E"
RC0805FR-078K2L,12,8.2k,"constructed, was 0805W8F8201T5E"
RC1206FR-07100RL,12,100,"constructed, was 1206W4F1000T5E"
RC1206FR-074K7L,10,4.7k,"constructed, was 1206W4F4701T5E"
RC1206FR-0720RL,12,20,"constructed, was 1206W4F200JT5E"
RC1206FR-07750RL,12,750,"constructed, was 1206W4F7500T5E"
AO3400A,12,AO3400A,
SMAJ40CA,52,SMAJ40CA,
SMAJ6.0A,12,SMAJ6.0A,
SS14,17,SS14,
CL21B104KCFNNNE,22,100nF 100V,
CL21B105KBFNNNE,12,1uF 16V,
RC0805FR-0731K6L,12,31.6k,"constructed, was FRC0805F3162TS"
RC0805FR-072K49L,42,2.49k,"constructed, was FRC0805F2491TS"
C3216X6S2A106KT0A0E,7,10uF 100V,
ADS1115IDGSR,22,ADS1115IDGSR,
BAT54S,72,BAT54S,
CL21B102KBCNNNC,12,1nF 50V,
LM5164DDAR,7,LM5164DDAR,
CC0805KRX7R9BB104,157,100nF 16V,
RT0805BRD0710KL,100,10k 0.1%,"constructed, was FRH0805B1002TS"
"TJA1051T/3,118",22,"TJA1051T/3,118",
MCP2518FDT-H/SL,12,MCP2518FDT-H/SL,
DM3D-SF,12,DM3D-SF,
MF-MSMF020/60-2,22,MF-MSMF020/60-2,
RC0805FR-0760R4L,42,60.4,"constructed, was 0805W8F604JT5E"
DMG2301L,12,DMG2301L,
SN74AHCT1G125DBVR,12,SN74AHCT1G125DBVR,
ACT45B-510-2P-TL003,22,ACT45B-510-2P-TL003,
MPZ2012S601ATD25,12,742792022,
1N4148W,12,1N4148W,
2N7002,22,2N7002,
RT0805BRD072K21L,52,2.21k 0.1%,
SS34,7,SS34,
